"","occupation","code","education","work_experience","job_training","year"
"1226","Door-to-door sales workers, news and street vendors, and related workers","41-9091","No formal educational credential","None","Short-term on-the-job training","2014"
"1227","Sales and related workers, all other","41-9099","High school diploma or equivalent","None","None","2014"
"1228","First-line supervisors of office and administrative support workers","43-1011","High school diploma or equivalent","Less than 5 years","None","2014"
"1229","Switchboard operators, including answering service","43-2011","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1230","Telephone operators","43-2021","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1231","Communications equipment operators, all other","43-2099","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1232","Bill and account collectors","43-3011","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1233","Billing and posting clerks","43-3021","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1234","Bookkeeping, accounting, and auditing clerks","43-3031","Some college, no degree","None","Moderate-term on-the-job training","2014"
"1235","Gaming cage workers","43-3041","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1236","Payroll and timekeeping clerks","43-3051","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1237","Procurement clerks","43-3061","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1238","Tellers","43-3071","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1239","Financial clerks, all other","43-3099","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1240","Brokerage clerks","43-4011","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1241","Correspondence clerks","43-4021","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1242","Court, municipal, and license clerks","43-4031","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1243","Credit authorizers, checkers, and clerks","43-4041","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1244","Customer service representatives","43-4051","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1245","Eligibility interviewers, government programs","43-4061","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1246","File clerks","43-4071","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1247","Hotel, motel, and resort desk clerks","43-4081","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1248","Interviewers, except eligibility and loan","43-4111","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1249","Library assistants, clerical","43-4121","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1250","Loan interviewers and clerks","43-4131","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1251","New accounts clerks","43-4141","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1252","Order clerks","43-4151","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1253","Human resources assistants, except payroll and timekeeping","43-4161","Associate's degree","None","None","2014"
"1254","Receptionists and information clerks","43-4171","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1255","Reservation and transportation ticket agents and travel clerks","43-4181","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1256","Information and record clerks, all other","43-4199","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1257","Cargo and freight agents","43-5011","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1258","Couriers and messengers","43-5021","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1259","Police, fire, and ambulance dispatchers","43-5031","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1260","Dispatchers, except police, fire, and ambulance","43-5032","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1261","Meter readers, utilities","43-5041","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1262","Postal service clerks","43-5051","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1263","Postal service mail carriers","43-5052","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1264","Postal service mail sorters, processors, and processing machine operators","43-5053","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1265","Production, planning, and expediting clerks","43-5061","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1266","Shipping, receiving, and traffic clerks","43-5071","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1267","Stock clerks and order fillers","43-5081","No formal educational credential","None","Short-term on-the-job training","2014"
"1268","Weighers, measurers, checkers, and samplers, recordkeeping","43-5111","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1269","Executive secretaries and executive administrative assistants","43-6011","High school diploma or equivalent","Less than 5 years","None","2014"
"1270","Legal secretaries","43-6012","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1271","Medical secretaries","43-6013","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1272","Secretaries and administrative assistants, except legal, medical, and executive","43-6014","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1273","Computer operators","43-9011","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1274","Data entry keyers","43-9021","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1275","Word processors and typists","43-9022","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1276","Desktop publishers","43-9031","Associate's degree","None","Short-term on-the-job training","2014"
"1277","Insurance claims and policy processing clerks","43-9041","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1278","Mail clerks and mail machine operators, except postal service","43-9051","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1279","Office clerks, general","43-9061","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1280","Office machine operators, except computer","43-9071","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1281","Proofreaders and copy markers","43-9081","Bachelor's degree","None","None","2014"
"1282","Statistical assistants","43-9111","Bachelor's degree","None","None","2014"
"1283","Office and administrative support workers, all other","43-9199","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1284","First-line supervisors of farming, fishing, and forestry workers","45-1011","High school diploma or equivalent","Less than 5 years","None","2014"
"1285","Agricultural inspectors","45-2011","Bachelor's degree","None","Moderate-term on-the-job training","2014"
"1286","Animal breeders","45-2021","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1287","Graders and sorters, agricultural products","45-2041","No formal educational credential","None","Short-term on-the-job training","2014"
"1288","Agricultural equipment operators","45-2091","No formal educational credential","None","Short-term on-the-job training","2014"
"1289","Farmworkers and laborers, crop, nursery, and greenhouse","45-2092","No formal educational credential","None","Short-term on-the-job training","2014"
"1290","Farmworkers, farm, ranch, and aquacultural animals","45-2093","No formal educational credential","None","Short-term on-the-job training","2014"
"1291","Agricultural workers, all other","45-2099","No formal educational credential","None","Short-term on-the-job training","2014"
"1292","Fishers and related fishing workers","45-3011","No formal educational credential","None","Moderate-term on-the-job training","2014"
"1293","Hunters and trappers","45-3021","No formal educational credential","None","Short-term on-the-job training","2014"
"1294","Forest and conservation workers","45-4011","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1295","Fallers","45-4021","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1296","Logging equipment operators","45-4022","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1297","Log graders and scalers","45-4023","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1298","Logging workers, all other","45-4029","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1299","First-line supervisors of construction trades and extraction workers","47-1011","High school diploma or equivalent","5 years or more","None","2014"
"1300","Boilermakers","47-2011","High school diploma or equivalent","None","Apprenticeship","2014"
"1301","Brickmasons and blockmasons","47-2021","High school diploma or equivalent","None","Apprenticeship","2014"
"1302","Stonemasons","47-2022","High school diploma or equivalent","None","Apprenticeship","2014"
"1303","Carpenters","47-2031","High school diploma or equivalent","None","Apprenticeship","2014"
"1304","Carpet installers","47-2041","No formal educational credential","None","Short-term on-the-job training","2014"
"1305","Floor layers, except carpet, wood, and hard tiles","47-2042","No formal educational credential","None","Moderate-term on-the-job training","2014"
"1306","Floor sanders and finishers","47-2043","No formal educational credential","None","Moderate-term on-the-job training","2014"
"1307","Tile and marble setters","47-2044","No formal educational credential","None","Long-term on-the-job training","2014"
"1308","Cement masons and concrete finishers","47-2051","No formal educational credential","None","Moderate-term on-the-job training","2014"
"1309","Terrazzo workers and finishers","47-2053","High school diploma or equivalent","None","Apprenticeship","2014"
"1310","Construction laborers","47-2061","No formal educational credential","None","Short-term on-the-job training","2014"
"1311","Paving, surfacing, and tamping equipment operators","47-2071","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1312","Pile-driver operators","47-2072","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1313","Operating engineers and other construction equipment operators","47-2073","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1314","Drywall and ceiling tile installers","47-2081","No formal educational credential","None","Moderate-term on-the-job training","2014"
"1315","Tapers","47-2082","No formal educational credential","None","Moderate-term on-the-job training","2014"
"1316","Electricians","47-2111","High school diploma or equivalent","None","Apprenticeship","2014"
"1317","Glaziers","47-2121","High school diploma or equivalent","None","Apprenticeship","2014"
"1318","Insulation workers, floor, ceiling, and wall","47-2131","No formal educational credential","None","Short-term on-the-job training","2014"
"1319","Insulation workers, mechanical","47-2132","High school diploma or equivalent","None","Apprenticeship","2014"
"1320","Painters, construction and maintenance","47-2141","No formal educational credential","None","Moderate-term on-the-job training","2014"
"1321","Paperhangers","47-2142","No formal educational credential","None","Long-term on-the-job training","2014"
"1322","Pipelayers","47-2151","No formal educational credential","None","Short-term on-the-job training","2014"
"1323","Plumbers, pipefitters, and steamfitters","47-2152","High school diploma or equivalent","None","Apprenticeship","2014"
"1324","Plasterers and stucco masons","47-2161","No formal educational credential","None","Long-term on-the-job training","2014"
"1325","Reinforcing iron and rebar workers","47-2171","High school diploma or equivalent","None","Apprenticeship","2014"
"1326","Roofers","47-2181","No formal educational credential","None","Moderate-term on-the-job training","2014"
"1327","Sheet metal workers","47-2211","High school diploma or equivalent","None","Apprenticeship","2014"
"1328","Structural iron and steel workers","47-2221","High school diploma or equivalent","None","Apprenticeship","2014"
"1329","Solar photovoltaic installers","47-2231","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1330","Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters","47-3011","No formal educational credential","None","Short-term on-the-job training","2014"
"1331","Helpers--carpenters","47-3012","No formal educational credential","None","Short-term on-the-job training","2014"
"1332","Helpers--electricians","47-3013","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1333","Helpers--painters, paperhangers, plasterers, and stucco masons","47-3014","No formal educational credential","None","Short-term on-the-job training","2014"
"1334","Helpers--pipelayers, plumbers, pipefitters, and steamfitters","47-3015","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1335","Helpers--roofers","47-3016","No formal educational credential","None","Short-term on-the-job training","2014"
"1336","Helpers, construction trades, all other","47-3019","No formal educational credential","None","Short-term on-the-job training","2014"
"1337","Construction and building inspectors","47-4011","High school diploma or equivalent","5 years or more","Moderate-term on-the-job training","2014"
"1338","Elevator installers and repairers","47-4021","High school diploma or equivalent","None","Apprenticeship","2014"
"1339","Fence erectors","47-4031","No formal educational credential","None","Moderate-term on-the-job training","2014"
"1340","Hazardous materials removal workers","47-4041","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1341","Highway maintenance workers","47-4051","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1342","Rail-track laying and maintenance equipment operators","47-4061","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1343","Septic tank servicers and sewer pipe cleaners","47-4071","No formal educational credential","None","Moderate-term on-the-job training","2014"
"1344","Segmental pavers","47-4091","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1345","Construction and related workers, all other","47-4099","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1346","Derrick operators, oil and gas","47-5011","No formal educational credential","None","Short-term on-the-job training","2014"
"1347","Rotary drill operators, oil and gas","47-5012","No formal educational credential","None","Moderate-term on-the-job training","2014"
"1348","Service unit operators, oil, gas, and mining","47-5013","No formal educational credential","None","Moderate-term on-the-job training","2014"
"1349","Earth drillers, except oil and gas","47-5021","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1350","Explosives workers, ordnance handling experts, and blasters","47-5031","High school diploma or equivalent","Less than 5 years","Long-term on-the-job training","2014"
"1351","Continuous mining machine operators","47-5041","No formal educational credential","None","Moderate-term on-the-job training","2014"
"1352","Mine cutting and channeling machine operators","47-5042","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1353","Mining machine operators, all other","47-5049","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1354","Rock splitters, quarry","47-5051","No formal educational credential","None","Short-term on-the-job training","2014"
"1355","Roof bolters, mining","47-5061","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1356","Roustabouts, oil and gas","47-5071","No formal educational credential","None","Moderate-term on-the-job training","2014"
"1357","Helpers--extraction workers","47-5081","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1358","Extraction workers, all other","47-5099","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1359","First-line supervisors of mechanics, installers, and repairers","49-1011","High school diploma or equivalent","Less than 5 years","None","2014"
"1360","Computer, automated teller, and office machine repairers","49-2011","Some college, no degree","None","Short-term on-the-job training","2014"
"1361","Radio, cellular, and tower equipment installers and repairs","49-2021","Associate's degree","None","Moderate-term on-the-job training","2014"
"1362","Telecommunications equipment installers and repairers, except line installers","49-2022","Postsecondary nondegree award","None","Moderate-term on-the-job training","2014"
"1363","Avionics technicians","49-2091","Associate's degree","None","None","2014"
"1364","Electric motor, power tool, and related repairers","49-2092","Postsecondary nondegree award","None","Long-term on-the-job training","2014"
"1365","Electrical and electronics installers and repairers, transportation equipment","49-2093","Postsecondary nondegree award","None","Long-term on-the-job training","2014"
"1366","Electrical and electronics repairers, commercial and industrial equipment","49-2094","Postsecondary nondegree award","None","Long-term on-the-job training","2014"
"1367","Electrical and electronics repairers, powerhouse, substation, and relay","49-2095","Postsecondary nondegree award","None","Long-term on-the-job training","2014"
"1368","Electronic equipment installers and repairers, motor vehicles","49-2096","Postsecondary nondegree award","None","Short-term on-the-job training","2014"
"1369","Electronic home entertainment equipment installers and repairers","49-2097","Postsecondary nondegree award","None","Short-term on-the-job training","2014"
"1370","Security and fire alarm systems installers","49-2098","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1371","Aircraft mechanics and service technicians","49-3011","Postsecondary nondegree award","None","None","2014"
"1372","Automotive body and related repairers","49-3021","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1373","Automotive glass installers and repairers","49-3022","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1374","Automotive service technicians and mechanics","49-3023","Postsecondary nondegree award","None","Short-term on-the-job training","2014"
"1375","Bus and truck mechanics and diesel engine specialists","49-3031","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1376","Farm equipment mechanics and service technicians","49-3041","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1377","Mobile heavy equipment mechanics, except engines","49-3042","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1378","Rail car repairers","49-3043","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1379","Motorboat mechanics and service technicians","49-3051","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1380","Motorcycle mechanics","49-3052","Postsecondary nondegree award","None","Short-term on-the-job training","2014"
"1381","Outdoor power equipment and other small engine mechanics","49-3053","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1382","Bicycle repairers","49-3091","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1383","Recreational vehicle service technicians","49-3092","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1384","Tire repairers and changers","49-3093","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1385","Mechanical door repairers","49-9011","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1386","Control and valve installers and repairers, except mechanical door","49-9012","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1387","Heating, air conditioning, and refrigeration mechanics and installers","49-9021","Postsecondary nondegree award","None","Long-term on-the-job training","2014"
"1388","Home appliance repairers","49-9031","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1389","Industrial machinery mechanics","49-9041","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1390","Maintenance workers, machinery","49-9043","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1391","Millwrights","49-9044","High school diploma or equivalent","None","Apprenticeship","2014"
"1392","Refractory materials repairers, except brickmasons","49-9045","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1393","Electrical power-line installers and repairers","49-9051","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1394","Telecommunications line installers and repairers","49-9052","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1395","Camera and photographic equipment repairers","49-9061","Associate's degree","None","Long-term on-the-job training","2014"
"1396","Medical equipment repairers","49-9062","Associate's degree","None","Moderate-term on-the-job training","2014"
"1397","Musical instrument repairers and tuners","49-9063","High school diploma or equivalent","None","Apprenticeship","2014"
"1398","Watch repairers","49-9064","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1399","Precision instrument and equipment repairers, all other","49-9069","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1400","Maintenance and repair workers, general","49-9071","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1401","Wind turbine service technicians","49-9081","Some college, no degree","None","Long-term on-the-job training","2014"
"1402","Coin, vending, and amusement machine servicers and repairers","49-9091","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1403","Commercial divers","49-9092","Postsecondary nondegree award","None","Moderate-term on-the-job training","2014"
"1404","Fabric menders, except garment","49-9093","No formal educational credential","None","Long-term on-the-job training","2014"
"1405","Locksmiths and safe repairers","49-9094","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1406","Manufactured building and mobile home installers","49-9095","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1407","Riggers","49-9096","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1408","Signal and track switch repairers","49-9097","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1409","Helpers--installation, maintenance, and repair workers","49-9098","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1410","Installation, maintenance, and repair workers, all other","49-9099","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1411","First-line supervisors of production and operating workers","51-1011","High school diploma or equivalent","Less than 5 years","None","2014"
"1412","Aircraft structure, surfaces, rigging, and systems assemblers","51-2011","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1413","Coil winders, tapers, and finishers","51-2021","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1414","Electrical and electronic equipment assemblers","51-2022","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1415","Electromechanical equipment assemblers","51-2023","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1416","Engine and other machine assemblers","51-2031","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1417","Structural metal fabricators and fitters","51-2041","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1418","Fiberglass laminators and fabricators","51-2091","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1419","Team assemblers","51-2092","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1420","Timing device assemblers and adjusters","51-2093","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1421","Assemblers and fabricators, all other","51-2099","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1422","Bakers","51-3011","No formal educational credential","None","Long-term on-the-job training","2014"
"1423","Butchers and meat cutters","51-3021","No formal educational credential","None","Long-term on-the-job training","2014"
"1424","Meat, poultry, and fish cutters and trimmers","51-3022","No formal educational credential","None","Short-term on-the-job training","2014"
"1425","Slaughterers and meat packers","51-3023","No formal educational credential","None","Short-term on-the-job training","2014"
"1426","Food and tobacco roasting, baking, and drying machine operators and tenders","51-3091","No formal educational credential","None","Moderate-term on-the-job training","2014"
"1427","Food batchmakers","51-3092","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1428","Food cooking machine operators and tenders","51-3093","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1429","Food processing workers, all other","51-3099","No formal educational credential","None","Moderate-term on-the-job training","2014"
"1430","Computer-controlled machine tool operators, metal and plastic","51-4011","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1431","Computer numerically controlled machine tool programmers, metal and plastic","51-4012","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1432","Extruding and drawing machine setters, operators, and tenders, metal and plastic","51-4021","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1433","Forging machine setters, operators, and tenders, metal and plastic","51-4022","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1434","Rolling machine setters, operators, and tenders, metal and plastic","51-4023","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1435","Cutting, punching, and press machine setters, operators, and tenders, metal and plastic","51-4031","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1436","Drilling and boring machine tool setters, operators, and tenders, metal and plastic","51-4032","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1437","Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic","51-4033","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1438","Lathe and turning machine tool setters, operators, and tenders, metal and plastic","51-4034","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1439","Milling and planing machine setters, operators, and tenders, metal and plastic","51-4035","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1440","Machinists","51-4041","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1441","Metal-refining furnace operators and tenders","51-4051","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1442","Pourers and casters, metal","51-4052","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1443","Model makers, metal and plastic","51-4061","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1444","Patternmakers, metal and plastic","51-4062","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1445","Foundry mold and coremakers","51-4071","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1446","Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic","51-4072","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1447","Multiple machine tool setters, operators, and tenders, metal and plastic","51-4081","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1448","Tool and die makers","51-4111","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1449","Welders, cutters, solderers, and brazers","51-4121","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1450","Welding, soldering, and brazing machine setters, operators, and tenders","51-4122","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1451","Heat treating equipment setters, operators, and tenders, metal and plastic","51-4191","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1452","Layout workers, metal and plastic","51-4192","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1453","Plating and coating machine setters, operators, and tenders, metal and plastic","51-4193","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1454","Tool grinders, filers, and sharpeners","51-4194","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1455","Metal workers and plastic workers, all other","51-4199","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1456","Prepress technicians and workers","51-5111","Postsecondary nondegree award","None","None","2014"
"1457","Printing press operators","51-5112","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1458","Print binding and finishing workers","51-5113","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1459","Laundry and dry-cleaning workers","51-6011","No formal educational credential","None","Short-term on-the-job training","2014"
"1460","Pressers, textile, garment, and related materials","51-6021","No formal educational credential","None","Short-term on-the-job training","2014"
"1461","Sewing machine operators","51-6031","No formal educational credential","None","Short-term on-the-job training","2014"
"1462","Shoe and leather workers and repairers","51-6041","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1463","Shoe machine operators and tenders","51-6042","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1464","Sewers, hand","51-6051","No formal educational credential","None","Moderate-term on-the-job training","2014"
"1465","Tailors, dressmakers, and custom sewers","51-6052","No formal educational credential","None","Moderate-term on-the-job training","2014"
"1466","Textile bleaching and dyeing machine operators and tenders","51-6061","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1467","Textile cutting machine setters, operators, and tenders","51-6062","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1468","Textile knitting and weaving machine setters, operators, and tenders","51-6063","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1469","Textile winding, twisting, and drawing out machine setters, operators, and tenders","51-6064","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1470","Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers","51-6091","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1471","Fabric and apparel patternmakers","51-6092","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1472","Upholsterers","51-6093","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1473","Textile, apparel, and furnishings workers, all other","51-6099","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1474","Cabinetmakers and bench carpenters","51-7011","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1475","Furniture finishers","51-7021","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1476","Model makers, wood","51-7031","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1477","Patternmakers, wood","51-7032","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1478","Sawing machine setters, operators, and tenders, wood","51-7041","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1479","Woodworking machine setters, operators, and tenders, except sawing","51-7042","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1480","Woodworkers, all other","51-7099","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1481","Nuclear power reactor operators","51-8011","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1482","Power distributors and dispatchers","51-8012","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1483","Power plant operators","51-8013","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1484","Stationary engineers and boiler operators","51-8021","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1485","Water and wastewater treatment plant and system operators","51-8031","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1486","Chemical plant and system operators","51-8091","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1487","Gas plant operators","51-8092","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1488","Petroleum pump system operators, refinery operators, and gaugers","51-8093","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1489","Plant and system operators, all other","51-8099","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1490","Chemical equipment operators and tenders","51-9011","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1491","Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders","51-9012","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1492","Crushing, grinding, and polishing machine setters, operators, and tenders","51-9021","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1493","Grinding and polishing workers, hand","51-9022","No formal educational credential","None","Moderate-term on-the-job training","2014"
"1494","Mixing and blending machine setters, operators, and tenders","51-9023","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1495","Cutters and trimmers, hand","51-9031","No formal educational credential","None","Short-term on-the-job training","2014"
"1496","Cutting and slicing machine setters, operators, and tenders","51-9032","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1497","Extruding, forming, pressing, and compacting machine setters, operators, and tenders","51-9041","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
