"","employment","Total","median","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year","code2"
"402","Laundry and dry-cleaning workers",176,"43.2","51-6011","   60.19","   73.57","   24.82","    6.51","    9.15","    1.06","   0.53","2013","51-601"
"403","Librarians",187.5,"50.5","25-4021","    0.38","    0.75","   18.56","    8.06","   43.31","  106.88","   9.56","2013","25-402"
"404","Library assistants, clerical",92,"39.4","43-4121","    1.01","   18.68","   22.54","   12.05","   27.97","    8.56","   1.10","2013","43-412"
"405","Library technicians",42,"–","25-4031","    1.34","   14.91","    6.80","    4.16","    9.95","    4.24","   0.59","2013","25-403"
"406","Licensed practical and licensed vocational nurses",544.5,"43.8","29-2061","    7.62","  101.28","  301.65","  101.82","   26.14","    3.27","   2.18","2013","29-206"
"407","Loan interviewers and clerks",156,"39.9","43-4131","    2.18","   42.12","   51.17","   20.12","   35.72","    3.90","   0.94","2013","43-413"
"408","Lodging managers",148.5,"47.1","2623113","    7.42","   27.92","   35.79","   13.81","   49.30","   11.58","   2.82","2013","262311"
"409","Logisticians",91,"46.1","13-1081","    1.27","   13.92","   25.03","   10.28","   30.30","    9.10","   0.91","2013","13-108"
"410","Machinists",397.5,"46.2","51-4041","   38.96","  189.21","  109.71","   44.52","   13.12","    1.59","   0.40","2013","51-404"
"411","Mail clerks and mail machine operators, except postal service",78,"50","43-9051","    6.40","   32.53","   22.70","    6.16","    8.50","    1.40","   0.23","2013","43-905"
"412","Maintenance and repair workers, general",452,"47.9","49-9071","   62.38","  183.96","  125.66","   47.01","   28.02","    4.07","   0.45","2013","49-907"
"413","Management analysts",792,"47.2","13-1111","    3.96","   38.81","   98.21","   40.39","  324.72","  229.68","  57.02","2013","13-111"
"414","Marine engineers and naval architects",9.5,"–","17-2121","    0.00","    0.95","    0.93","    0.58","    5.23","    1.60","   0.23","2013","17-212"
"415","Market research analysts and marketing specialists",230,"38.5","13-1161","    1.61","    8.97","   24.38","   11.27","  123.97","   52.90","   7.13","2013","13-116"
"416","Massage therapists",165,"41.8","31-9011","    3.79","   28.38","   60.72","   28.38","   34.48","    6.93","   2.48","2013","31-901"
"417","Materials engineers",43,"–","17-2131","    0.00","    2.19","    4.56","    4.47","   20.77","    8.26","   2.71","2013","17-213"
"418","Mechanical engineers",307.5,"42.4","17-2141","    0.31","   13.84","   31.06","   31.67","  158.67","   62.73","   9.53","2013","17-214"
"419","Medical and health services managers",585,"48.3","2634069","    5.26","   45.63","   89.50","   71.37","  187.20","  139.23","  46.80","2013","263406"
"420","Medical records and health information technicians",89,"49.8","29-2071","    1.60","   20.91","   31.60","   17.27","   14.06","    2.85","   0.71","2013","29-207"
"421","Meeting, convention, and event planners",128.5,"37.6","13-1121","    1.93","   10.92","   23.77","   11.05","   65.15","   13.75","   1.93","2013","13-112"
"422","Meter readers, utilities",29,"–","43-5041","    1.13","   13.75","    8.76","    2.18","    2.84","    0.29","   0.00","2013","43-504"
"423","Morticians, undertakers, and funeral directors",38.5,"–","39-4031","    0.27","    3.54","    9.36","   12.32","    9.82","    2.12","   1.08","2013","39-403"
"424","Motion picture projectionists",3.5,"–","39-3021","    0.07","    0.86","    1.28","    0.23","    1.05","    0.00","   0.00","2013","39-302"
"425","Motor vehicle operators, all other",68.5,"59.3","53-3099","    8.97","   32.40","   15.41","    4.66","    5.48","    1.23","   0.48","2013","53-309"
"426","Natural sciences managers",16,"–","2637722","    0.10","    0.22","    0.64","    0.37","    5.31","    5.02","   4.35","2013","263772"
"427","New accounts clerks",25.5,"–","43-4141","    0.20","    6.58","    9.15","    2.50","    5.97","    0.97","   0.10","2013","43-414"
"428","Nonfarm animal caretakers",177,"32.1","39-2021","   18.05","   61.42","   48.14","   14.69","   28.85","    4.25","   1.59","2013","39-202"
"429","Nurse anesthetists",25.5,"–","29-1151","    0.00","    0.59","    1.25","    1.02","    3.47","   15.68","   3.47","2013","29-115"
"430","Occupational therapists",115,"40.700000000000003","29-1122","    0.34","    0.46","    1.61","    9.20","   50.02","   47.95","   5.29","2013","29-112"
"431","Office clerks, general",1143.5,"42.7","43-9061","   38.88","  343.05","  386.50","  134.93","  193.25","   38.88","   6.86","2013","43-906"
"432","Office machine operators, except computer",43.5,"–","43-9071","    3.83","   17.75","   12.35","    3.92","    5.18","    0.44","   0.04","2013","43-907"
"433","Operations research analysts",129,"44.8","15-2031","    0.77","    6.45","   21.41","    8.77","   52.50","   33.93","   5.16","2013","15-203"
"434","Opticians, dispensing",50.5,"–","29-2081","    0.96","   14.09","   18.43","    9.90","    6.21","    0.45","   0.45","2013","29-208"
"435","Optometrists",37,"–","29-1041","    0.04","    0.18","    0.00","    0.11","    0.59","    0.89","  35.19","2013","29-104"
"436","Packaging and filling machine operators and tenders",282.5,"39.9","51-9111","   99.72","  118.37","   42.09","   10.45","   10.45","    1.13","   0.28","2013","51-911"
"437","Paralegals and legal assistants",411,"42","23-2011","    4.11","   46.03","   99.05","   76.03","  154.12","   20.14","  11.10","2013","23-201"
"438","Parking lot attendants",84.5,"28.3","53-6021","   16.22","   28.56","   20.36","    7.27","    9.38","    2.11","   0.51","2013","53-602"
"439","Paving, surfacing, and tamping equipment operators",22.5,"–","47-2071","    8.26","   11.65","    1.30","    0.54","    0.74","    0.00","   0.00","2013","47-207"
"440","Payroll and timekeeping clerks",155.5,"47.6","43-3051","    3.27","   39.96","   57.54","   22.24","   28.46","    3.58","   0.31","2013","43-305"
"441","Personal care aides",1156.5,"44.2","39-9021","  196.61","  402.46","  311.10","   94.83","  120.28","   24.29","   5.78","2013","39-902"
"442","Personal care and service workers, all other",100,"35.299999999999997","39-9099","    9.90","   33.00","   29.40","    8.90","   14.70","    3.50","   0.70","2013","39-909"
"443","Pest control workers",75,"42.9","37-2021","    6.45","   31.05","   22.50","    6.75","    7.12","    0.75","   0.38","2013","37-202"
"444","Pharmacists",281.5,"42.7","29-1051","    0.28","    0.28","    3.94","    2.53","  103.03","   17.17"," 154.26","2013","29-105"
"445","Photographers",179,"40.1","27-4021","    4.30","   20.94","   40.81","   18.26","   78.94","   12.53","   3.04","2013","27-402"
"446","Photographic process workers and processing machine operators",49,"–","51-9151","    2.35","   13.13","   13.33","    5.44","   11.17","    2.94","   0.64","2013","51-915"
"447","Physical scientists, all other",156,"43.2","19-2099","    0.16","    0.62","    0.78","    1.25","   40.09","   34.48","  78.62","2013","19-209"
"448","Physician assistants",118.5,"39.200000000000003","29-1071","    0.59","    5.81","    9.36","   13.75","   30.57","   43.73","  14.58","2013","29-107"
"449","Plasterers and stucco masons",22.5,"–","47-2161","   11.72","    7.34","    2.77","    0.50","    0.11","    0.04","   0.00","2013","47-216"
"450","Podiatrists",10.5,"–","29-1081","    0.03","    0.06","    0.00","    0.00","    0.16","    0.25","  10.01","2013","29-108"
"451","Postal service clerks",124,"52.1","43-5051","    3.10","   42.53","   45.14","   13.27","   17.48","    2.23","   0.25","2013","43-505"
"452","Prepress technicians and workers",31,"–","51-5111","    3.47","   10.70","    8.31","    3.13","    4.68","    0.59","   0.12","2013","51-511"
"453","Pressers, textile, garment, and related materials",54.5,"45.7","51-6021","   25.51","   20.06","    5.72","    1.53","    1.47","    0.16","   0.05","2013","51-602"
"454","Private detectives and investigators",94.5,"43.5","33-9021","    0.85","    9.45","   20.98","    9.36","   36.95","   13.70","   3.21","2013","33-902"
"455","Procurement clerks",27,"–","43-3061","    0.32","    5.29","    8.61","    3.62","    6.53","    2.27","   0.38","2013","43-306"
"456","Production, planning, and expediting clerks",277,"46.1","43-5061","    8.03","   71.47","   79.22","   31.86","   65.93","   18.56","   1.66","2013","43-506"
"457","Proofreaders and copy markers",8.5,"–","43-9081","    0.26","    1.32","    1.51","    0.40","    3.97","    0.82","   0.22","2013","43-908"
"458","Property, real estate, and community association managers",649,"50.8","2645027","   30.50","  124.61","  182.37","   55.81","  188.21","   53.22","  14.28","2013","264502"
"459","Public relations and fundraising managers",56.5,"41.1","48153","    0.00","    1.81","    3.50","    2.83","   30.34","   15.42","   2.54","2013","48153"
"460","Public relations specialists",152,"37.4","27-3031","    0.91","    5.62","   14.44","    7.30","   85.88","   31.16","   6.54","2013","27-303"
"461","Purchasing managers",201,"47.5","424353","    2.41","   22.31","   36.98","   15.68","   82.01","   35.98","   5.63","2013","424353"
"462","Rail-track laying and maintenance equipment operators",11.5,"–","47-4061","    1.64","    5.60","    3.05","    0.84","    0.34","    0.02","   0.00","2013","47-406"
"463","Railroad conductors and yardmasters",51,"39","53-4031","    0.71","   18.31","   19.18","    5.51","    6.83","    0.46","   0.05","2013","53-403"
"464","Receptionists and information clerks",1281.5,"37.6","43-4171","   52.54","  429.30","  436.99","  153.78","  175.57","   28.19","   6.41","2013","43-417"
"465","Refuse and recyclable material collectors",107,"41.1","53-7081","   35.52","   44.51","   17.98","    4.28","    4.07","    0.64","   0.00","2013","53-708"
"466","Registered nurses",2883.5,"44.2","29-1141","    5.77","   31.72","  155.71"," 1058.24"," 1340.83","  236.45","  54.79","2013","29-114"
"467","Religious workers, all other",71.5,"47.1","21-2099","    1.43","    8.08","   12.80","    5.72","   25.95","   13.51","   3.93","2013","21-209"
"468","Reservation and transportation ticket agents and travel clerks",118,"44.2","43-4181","    2.71","   28.79","   39.88","   14.40","   26.90","    4.84","   0.35","2013","43-418"
"469","Residential advisors",49,"–","39-9041","    1.52","    9.95","   15.93","    5.93","   11.86","    3.48","   0.39","2013","39-904"
"470","Retail salespersons",3285.5,"34.700000000000003","41-2031","  216.84","  952.80","  946.22","  318.69","  706.38","  121.56","  23.00","2013","41-203"
"471","Roofers",199.5,"37.299999999999997","47-2181","   90.97","   75.01","   21.95","    5.39","    5.59","    0.60","   0.20","2013","47-218"
"472","Sales engineers",31.5,"–","41-9031","    0.22","    1.83","    4.09","    2.96","   16.73","    5.13","   0.54","2013","41-903"
"473","Sales representatives, services, all other",444.5,"42.1","41-3099","    9.78","   70.68","  115.13","   37.34","  174.69","   32.89","   4.45","2013","41-309"
"474","Sawing machine setters, operators, and tenders, wood",31.5,"–","51-7041","   11.62","   14.18","    4.03","    0.98","    0.60","    0.09","   0.00","2013","51-704"
"475","Securities, commodities, and financial services sales agents",279,"41.7","41-3031","    1.67","   21.20","   45.20","   13.95","  142.57","   46.59","   7.25","2013","41-303"
"476","Sewing machine operators",162,"48","51-6031","   70.15","   58.81","   17.17","    6.64","    7.94","    0.97","   0.32","2013","51-603"
"477","Sheet metal workers",118,"43.2","47-2211","   17.35","   54.87","   32.45","    8.14","    4.84","    0.47","   0.00","2013","47-221"
"478","Shipping, receiving, and traffic clerks",545,"41.1","43-5071","   71.94","  249.61","  142.79","   36.52","   39.79","    3.27","   1.09","2013","43-507"
"479","Social and community service managers",323.5,"47.5","2648679","    4.53","   26.20","   46.91","   20.70","  121.31","   88.96","  14.88","2013","264867"
"480","Stationary engineers and boiler operators",106,"48.6","51-8021","    6.04","   41.87","   32.54","   12.08","   10.92","    2.44","   0.32","2013","51-802"
"481","Statistical assistants",28,"–","43-9111","    0.70","    7.08","    8.34","    3.30","    6.86","    1.37","   0.36","2013","43-911"
"482","Stock clerks and order fillers",1480.5,"35.200000000000003","43-5081","  202.83","  649.94","  371.61","  111.04","  121.40","   20.73","   2.96","2013","43-508"
"483","Structural iron and steel workers",57,"–","47-2221","    9.52","   26.22","   13.85","    3.93","    3.25","    0.06","   0.17","2013","47-222"
"484","Structural metal fabricators and fitters",24,"–","51-2041","    3.07","   11.74","    5.69","    2.64","    0.82","    0.07","   0.00","2013","51-204"
"485","Surveying and mapping technicians",65.5,"44.7","17-3031","    2.95","   17.36","   24.82","   13.49","    6.09","    0.79","   0.07","2013","17-303"
"486","Switchboard operators, including answering service",33.5,"–","43-2011","    1.57","   11.52","   11.86","    3.75","    3.92","    0.84","   0.03","2013","43-201"
"487","Tax examiners and collectors, and revenue agents",71,"45.6","13-2081","    0.85","   13.06","   18.53","    6.32","   24.07","    7.24","   0.92","2013","13-208"
"488","Taxi drivers and chauffeurs",337,"49.2","53-3041","   51.90","  125.36","   80.88","   22.58","   44.15","   10.11","   2.02","2013","53-304"
"489","Teacher assistants",908,"44.8","25-9041","   23.61","  266.04","  263.32","  133.48","  174.34","   41.77","   5.45","2013","25-904"
"490","Telemarketers",95,"31.3","41-9041","    5.13","   29.36","   31.35","   10.26","   15.68","    2.75","   0.48","2013","41-904"
"491","Telephone operators",35.5,"–","43-2021","    2.06","   11.64","   13.13","    3.69","    4.15","    0.71","   0.07","2013","43-202"
"492","Tellers",374.5,"30.9","43-3071","    6.37","  130.33","  124.33","   42.32","   63.29","    7.49","   0.37","2013","43-307"
"493","Tool and die makers",54.5,"51.1","51-4111","    4.14","   20.66","   18.75","    8.45","    2.18","    0.38","   0.00","2013","51-411"
"494","Total, all occupations",143199,"42.4","00-0000","12744.71","35226.95","31074.18","13317.51","31646.98","13460.71","5871.16","2013","00-000"
"495","Training and development managers",35,"–","449919","    0.18","    1.92","    5.95","    3.29","   14.38","    8.19","   1.08","2013","449919"
"496","Training and development specialists",122.5,"42.5","13-1151","    1.84","   15.68","   29.03","   12.25","   41.53","   19.84","   2.21","2013","13-115"
"497","Transportation attendants, except flight attendants",37.5,"–","53-6061","    4.84","   15.75","    9.94","    2.81","    3.52","    0.60","   0.08","2013","53-606"
"498","Transportation inspectors",40.5,"–","53-6051","    2.59","   12.35","   13.65","    5.26","    5.67","    0.61","   0.36","2013","53-605"
"499","Transportation, storage, and distribution managers",275.5,"45.8","428005","   15.15","   81.82","   70.53","   24.52","   61.71","   20.66","   1.38","2013","428005"
"500","Travel agents",75,"53.2","41-3041","    1.28","   12.30","   23.32","    9.83","   23.18","    4.05","   1.05","2013","41-304"
"501","Urban and regional planners",24,"–","19-3051","    0.00","    0.34","    1.03","    0.41","    8.88","   12.14","   1.18","2013","19-305"
"502","Ushers, lobby attendants, and ticket takers",41,"–","39-3031","    3.73","   14.72","    9.59","    2.54","    9.39","    0.82","   0.20","2013","39-303"
"503","Veterinarians",86,"46.8","29-1131","    0.00","    0.17","    0.00","    0.17","    2.58","    1.55","  81.44","2013","29-113"
"504","Waiters and waitresses",2124,"26.2","35-3031","  297.36","  694.55","  605.34","  184.79","  295.24","   38.23","   6.37","2013","35-303"
"505","Water and wastewater treatment plant and system operators",70,"49.8","51-8031","    3.22","   27.37","   24.15","    7.63","    6.79","    0.84","   0.07","2013","51-803"
"506","Weighers, measurers, checkers, and samplers, recordkeeping",79,"46.5","43-5111","    9.48","   31.52","   20.22","    6.56","    8.93","    2.13","   0.16","2013","43-511"
"507","Accountants and auditors",1789.5,"43.2","13-2011","    0.00","   76.95","  144.95","  162.84","  994.96","  359.69","  50.11","2015","13-201"
"508","Actors",41.5,"–","27-2011","    0.75","    5.48","    7.68","    3.40","   18.68","    4.73","   0.75","2015","27-201"
"509","Actuaries",27,"–","15-2011","    0.00","    0.00","    0.32","    0.19","   17.14","    6.37","   2.97","2015","15-201"
"510","Adhesive bonding machine operators and tenders",10.5,"–","51-9191","    1.82","    5.81","    2.29","    0.22","    0.32","    0.05","   0.00","2015","51-919"
"511","Administrative services managers",128.5,"49.4","406090","    2.57","   24.54","   35.34","   13.75","   37.65","   12.98","   1.80","2015","406090"
"512","Advertising and promotions managers",64,"40.299999999999997","40848","    0.38","    2.82","    7.94","    2.69","   41.09","    7.74","   1.28","2015","40848"
"513","Advertising sales agents",234,"39.299999999999997","41-3011","    2.81","   25.04","   49.61","   17.32","  117.23","   20.12","   2.11","2015","41-301"
"514","Aerospace engineers",131.5,"45.1","17-2011","    0.53","    2.76","    8.81","    6.18","   65.75","   41.16","   6.18","2015","17-201"
"515","Agents and business managers of artists, performers, and athletes",53,"37","13-1011","    1.32","    6.62","   10.60","    3.71","   23.16","    5.67","   1.91","2015","13-101"
"516","Agricultural and food science technicians",30,"–","19-4011","    2.46","    6.00","    9.18","    3.81","    6.84","    1.08","   0.63","2015","19-401"
"517","Agricultural inspectors",14,"–","45-2011","    1.19","    3.00","    3.33","    1.43","    4.14","    0.80","   0.11","2015","45-201"
"518","Aircraft mechanics and service technicians",157.5,"47.5","49-3011","    3.94","   39.22","   61.90","   33.55","   16.85","    1.42","   0.47","2015","49-301"
"519","Aircraft structure, surfaces, rigging, and systems assemblers",18.5,"–","51-2011","    1.94","    9.14","    5.16","    0.94","    0.94","    0.17","   0.18","2015","51-201"
"520","Ambulance drivers and attendants, except emergency medical technicians",18.5,"–","53-3011","    1.07","    6.81","    6.62","    1.46","    1.96","    0.48","   0.11","2015","53-301"
"521","Animal control workers",11,"–","33-9011","    0.30","    3.91","    4.39","    1.12","    1.19","    0.11","   0.00","2015","33-901"
"522","Animal trainers",40,"–","39-2011","    2.60","    9.64","   10.68","    4.44","   10.24","    2.00","   0.40","2015","39-201"
"523","Appraisers and assessors of real estate",95.5,"49.9","13-2021","    0.67","   10.12","   24.45","    8.79","   39.92","    9.45","   2.10","2015","13-202"
"524","Architectural and engineering managers",120.5,"49.7","2608503","    0.84","    4.34","    8.19","    5.42","   55.79","   38.92","   6.99","2015","260850"
"525","Atmospheric and space scientists",14.5,"–","19-2021","    0.00","    0.17","    0.94","    0.55","    7.05","    3.44","   2.35","2015","19-202"
"526","Audiologists",15,"–","29-1181","    0.00","    0.24","    0.34","    0.26","    1.41","    3.73","   9.02","2015","29-118"
"527","Automotive and watercraft service attendants",93,"27.3","53-6031","   16.27","   43.06","   22.04","    4.56","    5.58","    1.30","   0.19","2015","53-603"
"528","Automotive body and related repairers",154,"43.2","49-3021","   38.04","   73.00","   27.87","   10.47","    4.00","    0.46","   0.15","2015","49-302"
"529","Avionics technicians",12,"–","49-2091","    0.26","    2.53","    4.03","    3.55","    1.50","    0.10","   0.00","2015","49-209"
"530","Bakers",203,"39.1","51-3011","   47.50","   77.75","   42.43","   14.82","   17.66","    1.83","   1.02","2015","51-301"
"531","Barbers",118,"41.2","39-5011","   14.28","   55.93","   33.75","    8.02","    5.19","    0.71","   0.12","2015","39-501"
"532","Bartenders",414.5,"31.3","35-3011","   26.94","  117.30","  141.76","   42.28","   76.68","    7.46","   2.07","2015","35-301"
"533","Bill and account collectors",191.5,"39.4","43-3011","    6.89","   58.02","   68.94","   23.55","   28.92","    4.21","   0.96","2015","43-301"
"534","Billing and posting clerks",486,"44","43-3021","   11.66","  142.88","  160.87","   76.79","   76.79","   14.09","   2.43","2015","43-302"
"535","Biological technicians",20,"–","19-4021","    0.88","    3.52","    4.72","    3.20","    5.68","    1.02","   0.96","2015","19-402"
"536","Boilermakers",20.5,"–","47-2011","    2.69","   10.02","    5.37","    1.70","    0.55","    0.16","   0.00","2015","47-201"
"537","Bookkeeping, accounting, and auditing clerks",1254.5,"50","43-3031","   43.91","  350.01","  471.69","  139.25","  204.48","   40.14","   6.27","2015","43-303"
"538","Brokerage clerks",3.5,"–","43-4011","    0.04","    0.74","    0.84","    0.52","    1.17","    0.16","   0.05","2015","43-401"
"539","Budget analysts",58.5,"43.8","13-2031","    0.35","    3.98","    7.66","    4.21","   23.93","   16.20","   2.11","2015","13-203"
"540","Bus and truck mechanics and diesel engine specialists",316,"41.7","49-3031","   44.24","  144.41","   79.63","   37.29","    8.22","    1.26","   0.63","2015","49-303"
"541","Business operations specialists, all other",223,"43.7","13-1199","    3.57","   21.63","   37.46","   18.06","   88.09","   44.60","   9.59","2015","13-119"
"542","Buyers and purchasing agents, farm products",13.5,"–","13-1021","    1.67","    4.05","    2.46","    1.20","    3.19","    0.59","   0.34","2015","13-102"
"543","Cabinetmakers and bench carpenters",46,"–","51-7011","    8.79","   20.24","    8.92","    3.36","    4.00","    0.60","   0.05","2015","51-701"
"544","Cargo and freight agents",26.5,"–","43-5011","    0.93","    7.92","    9.20","    1.48","    6.23","    0.58","   0.19","2015","43-501"
"545","Carpenters",1193.5,"42.2","47-2031","  312.70","  503.66","  231.54","   65.64","   69.22","    8.35","   2.39","2015","47-203"
"546","Chefs and head cooks",414,"38.5","35-1011","   72.04","  124.61","   89.42","   72.86","   47.20","    6.21","   1.24","2015","35-101"
"547","Chemical engineers",66,"44.7","17-2041","    0.07","    1.85","    2.44","    2.05","   37.82","   16.83","   5.02","2015","17-204"
"548","Chemical technicians",65.5,"45.3","19-4031","    2.10","   14.93","   17.49","    7.27","   17.75","    3.73","   2.23","2015","19-403"
"549","Childcare workers",1272,"37.700000000000003","39-9011","  160.27","  395.59","  342.17","  133.56","  195.89","   36.89","   7.63","2015","39-901"
"550","Chiropractors",58,"44.4","29-1011","    0.35","    0.52","    0.46","    0.46","    2.73","    1.28","  52.26","2015","29-101"
"551","Civil engineers",359,"43.6","17-2051","    1.44","   11.49","   21.18","   17.23","  198.89","   94.06","  14.72","2015","17-205"
"552","Cleaners of vehicles and equipment",331.5,"31.1","53-7061","  102.43","  139.23","   56.69","   15.58","   14.25","    2.65","   0.66","2015","53-706"
"553","Clergy",409,"51.8","21-2011","   11.86","   24.95","   47.04","   17.18","  101.02","  145.60","  61.35","2015","21-201"
"554","Coin, vending, and amusement machine servicers and repairers",36.5,"–","49-9091","    2.41","   14.89","   10.48","    4.09","    3.87","    0.55","   0.22","2015","49-909"
"555","Combined food preparation and serving workers, including fast food",360,"27.6","35-3021","   69.12","  156.60","   84.24","   24.48","   21.24","    3.60","   0.36","2015","35-302"
"556","Communications equipment operators, all other",6,"–","43-2099","    0.00","    1.04","    1.68","    0.51","    1.97","    0.58","   0.22","2015","43-209"
"557","Compensation and benefits managers",13.5,"–","442614","    0.01","    0.86","    2.17","    1.08","    5.78","    3.32","   0.26","2015","442614"
"558","Compensation, benefits, and job analysis specialists",77,"43.6","13-1141","    0.31","    9.86","   16.71","    7.93","   32.11","    8.86","   1.23","2015","13-114"
"559","Compliance officers",197,"48","13-1041","    2.17","   16.15","   37.63","   15.96","   76.04","   35.07","  13.99","2015","13-104"
"560","Computer and information research scientists",23.5,"–","15-1111","    0.05","    0.31","    0.49","    0.09","   10.25","    7.57","   4.75","2015","15-111"
"561","Computer and information systems managers",603.5,"44.3","409743","    2.41","   25.95","   86.90","   48.88","  275.20","  147.86","  15.69","2015","409743"
"562","Computer hardware engineers",90.5,"41.7","17-2061","    0.09","    3.53","    9.50","    7.42","   42.99","   22.90","   3.98","2015","17-206"
"563","Computer occupations, all other",375.5,"41.5","15-1199","    4.13","   27.04","   79.23","   55.20","  146.44","   58.20","   4.88","2015","15-119"
"564","Computer operators",98.5,"47.2","43-9011","    3.45","   21.47","   31.52","   11.82","   23.25","    6.01","   0.89","2015","43-901"
"565","Computer programmers",484.5,"42.8","15-1131","    2.42","   20.35","   66.38","   40.70","  248.06","   94.48","  11.63","2015","15-113"
"566","Computer systems analysts",516.5,"41.6","15-1121","    2.58","   23.76","   70.24","   41.32","  243.79","  120.86","  14.46","2015","15-112"
"567","Computer, automated teller, and office machine repairers",290.5,"42","49-2011","    6.68","   52.87","   89.47","   61.88","   65.36","   11.91","   2.32","2015","49-201"
"568","Construction and building inspectors",109.5,"53.3","47-4011","    2.19","   28.03","   32.63","   16.97","   22.89","    5.26","   1.42","2015","47-401"
"569","Construction laborers",1461.5,"38.799999999999997","47-2061","  485.22","  594.83","  241.15","   61.38","   67.23","    8.77","   1.46","2015","47-206"
"570","Construction managers",902,"46.9","2601198","   57.73","  233.62","  228.21","   74.87","  247.15","   53.22","   8.12","2015","260119"
"571","Cost estimators",118.5,"46.7","13-1051","    2.84","   26.31","   35.31","   13.63","   34.25","    5.33","   0.71","2015","13-105"
"572","Counter and rental clerks",120,"44.1","41-2021","   12.24","   48.00","   30.00","    9.84","   17.52","    2.16","   0.12","2015","41-202"
"573","Couriers and messengers",205.5,"46.1","43-5021","   18.08","   75.01","   64.32","   18.91","   24.45","    4.32","   0.41","2015","43-502"
"574","Court, municipal, and license clerks",83,"48.4","43-4031","    1.25","   22.74","   26.14","   12.12","   17.18","    2.16","   1.58","2015","43-403"
"575","Crane and tower operators",67,"45.1","53-7021","   11.72","   32.90","   16.55","    3.02","    2.35","    0.47","   0.07","2015","53-702"
"576","Credit analysts",30,"–","13-2041","    0.15","    3.00","    5.22","    2.28","   13.44","    5.52","   0.36","2015","13-204"
"577","Credit authorizers, checkers, and clerks",41.5,"–","43-4041","    0.58","   11.45","   12.20","    5.64","    8.92","    2.53","   0.21","2015","43-404"
"578","Crossing guards",61,"50.2","33-9091","   10.25","   27.82","   14.34","    3.84","    3.60","    1.04","   0.12","2015","33-909"
"579","Customer service representatives",2012.5,"36.700000000000003","43-4051","   78.49","  527.27","  646.01","  233.45","  436.71","   80.50","  10.06","2015","43-405"
"580","Data entry keyers",322,"41.9","43-9021","    9.66","   87.58","  108.51","   42.18","   61.18","   11.91","   1.29","2015","43-902"
"581","Database administrators",99.5,"42","15-1141","    0.50","    5.87","   13.13","    8.16","   45.47","   23.48","   2.79","2015","15-114"
"582","Dental assistants",276.5,"36.799999999999997","31-9091","    8.85","   69.95","  109.22","   56.68","   24.89","    2.21","   4.42","2015","31-909"
"583","Dental hygienists",173.5,"43.9","29-2021","    0.87","    4.16","   13.01","   90.39","   55.17","    5.38","   4.68","2015","29-202"
"584","Detectives and criminal investigators",159,"43.5","33-3021","    0.95","    9.86","   38.48","   17.17","   66.78","   21.46","   4.45","2015","33-302"
"585","Dietitians and nutritionists",113,"45.5","29-1031","    3.39","   13.56","    9.83","    5.76","   42.04","   31.64","   6.78","2015","29-103"
"586","Directors, religious activities and education",59,"45","21-2021","    0.71","    6.08","    9.79","    4.01","   21.71","   13.69","   3.01","2015","21-202"
"587","Dishwashers",286,"29","35-9021","  126.70","  109.25","   29.17","    8.29","    9.15","    2.29","   0.57","2015","35-902"
"588","Door-to-door sales workers, news and street vendors, and related workers",194.5,"46.7","41-9091","   25.67","   59.91","   45.90","   18.67","   35.40","    7.39","   1.56","2015","41-909"
"589","Earth drillers, except oil and gas",34,"–","47-5021","    5.98","   17.54","    6.97","    2.21","    1.26","    0.00","   0.00","2015","47-502"
"590","Economists",30,"–","19-3011","    0.00","    0.00","    0.00","    0.00","    6.84","   14.31","   8.85","2015","19-301"
"591","Editors",154.5,"40","27-3041","    0.77","    4.79","   17.00","    5.10","   86.83","   30.90","   9.12","2015","27-304"
"592","Electrical power-line installers and repairers",113.5,"38.9","49-9051","    4.99","   46.19","   36.43","   16.57","    8.06","    1.25","   0.00","2015","49-905"
"593","Electricians",711,"42.8","47-2111","   53.33","  268.05","  223.97","  110.20","   46.93","    6.40","   2.13","2015","47-211"
"594","Elevator installers and repairers",26.5,"–","47-4021","    0.90","   13.17","    8.00","    3.18","    1.19","    0.05","   0.00","2015","47-402"
"595","Eligibility interviewers, government programs",83.5,"45.1","43-4061","    1.17","   11.77","   22.04","   12.36","   29.64","    6.01","   0.58","2015","43-406"
"596","Emergency management directors",6.5,"–","2652332","    0.00","    0.23","    1.35","    0.88","    2.65","    1.33","   0.07","2015","265233"
"597","Emergency medical technicians and paramedics",174,"34.6","29-2041","    1.04","   22.27","   77.78","   38.80","   29.23","    4.00","   0.87","2015","29-204"
"598","Engine and other machine assemblers",26,"–","51-2031","    3.87","   10.76","    6.94","    2.96","    1.20","    0.00","   0.26","2015","51-203"
"599","Entertainers and performers, sports and related workers, all other",38,"–","27-2099","    1.44","    6.99","   11.40","    2.17","   12.20","    2.62","   1.18","2015","27-209"
"600","Environmental engineers",38,"–","17-2081","    0.15","    1.67","    1.86","    1.22","   18.35","   12.88","   1.86","2015","17-208"
"601","Explosives workers, ordnance handling experts, and blasters",8,"–","47-5031","    0.75","    3.10","    2.62","    0.64","    0.77","    0.10","   0.03","2015","47-503"
"602","Extruding and drawing machine setters, operators, and tenders, metal and plastic",11.5,"–","51-4021","    1.53","    6.08","    2.99","    0.60","    0.26","    0.03","   0.00","2015","51-402"
