"","employment","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year"
"1187","Dental assistants","31-9091",2.7,29.9,40.5,17.8,7,0.5,1.6,"2012"
"1188","Medical assistants","31-9092",2.7,22.5,42.7,22.3,7.7,1.2,0.8,"2012"
"1189","Medical equipment preparers(1)","31-9093",8.5,40.1,28,10.1,11.2,1.7,0.4,"2012"
"1190","Medical transcriptionists","31-9094",1.3,19.9,39.4,21.5,15.1,2.3,0.6,"2012"
"1191","Pharmacy aides","31-9095",4.5,26.1,38.3,12,16.6,1.1,1.5,"2012"
"1192","Veterinary assistants and laboratory animal caretakers","31-9096",4.9,25.6,29.1,18,20.4,0.8,1.1,"2012"
"1193","Phlebotomists","31-9097",2.9,26.2,45,16.1,8,1.1,0.7,"2012"
"1194","Healthcare support workers, all other(1)","31-9099",8.5,40.1,28,10.1,11.2,1.7,0.4,"2012"
"1195","First-line supervisors of correctional officers","33-1011",1,24.2,34.4,11.9,20.2,6.8,1.6,"2012"
"1196","First-line supervisors of police and detectives","33-1012",0.5,10.7,30.7,12.7,32.4,11.2,1.8,"2012"
"1197","First-line supervisors of fire fighting and prevention workers","33-1021",0.1,15,36.9,22.3,19.1,6.1,0.4,"2012"
"1198","First-line supervisors of protective service workers, all other","33-1099",2.6,20.8,31.9,11.2,23.8,7.5,2.3,"2012"
"1199","Firefighters","33-2011",1,16.1,43.5,20.1,17.3,1.8,0.2,"2012"
"1200","Fire inspectors and investigators(1)","33-2021",3.4,18.4,33.4,16,22.8,5.5,0.5,"2012"
"1201","Forest fire inspectors and prevention specialists(1)","33-2022",3.4,18.4,33.4,16,22.8,5.5,0.5,"2012"
"1202","Bailiffs(1)","33-3011",1,31.2,38.1,14.3,13,2.2,0.3,"2012"
"1203","Correctional officers and jailers(1)","33-3012",1,31.2,38.1,14.3,13,2.2,0.3,"2012"
"1204","Detectives and criminal investigators","33-3021",0.4,7.2,22.9,12.3,41.8,13.1,2.3,"2012"
"1205","Fish and game wardens(1)","33-3031",3.4,25.3,30.1,10.3,27.3,3.4,0.3,"2012"
"1206","Parking enforcement workers(1)","33-3041",3.4,25.3,30.1,10.3,27.3,3.4,0.3,"2012"
"1207","Police and sheriff's patrol officers(1)","33-3051",0.7,12.4,34.4,17.2,29.5,5,0.6,"2012"
"1208","Transit and railroad police(1)","33-3052",0.7,12.4,34.4,17.2,29.5,5,0.6,"2012"
"1209","Animal control workers","33-9011",5.7,37.7,27.5,13,14.2,1.8,0,"2012"
"1210","Private detectives and investigators","33-9021",0.9,10,22.2,9.9,39.1,14.5,3.4,"2012"
"1211","Gaming surveillance officers and gaming investigators(1)","33-9031",6.5,33.9,31.7,11,13.4,2.8,0.6,"2012"
"1212","Security guards(1)","33-9032",6.5,33.9,31.7,11,13.4,2.8,0.6,"2012"
"1213","Crossing guards","33-9091",19.3,42.2,23.9,6.2,6.5,1.5,0.4,"2012"
"1214","Lifeguards, ski patrol, and other recreational protective service workers(1)","33-9092",6.3,30.3,26.4,10,21.8,4.1,1.2,"2012"
"1215","Transportation security screeners","33-9093",3.3,24,35.6,13.9,20.7,1.7,0.8,"2012"
"1216","Protective service workers, all other(1)","33-9099",6.3,30.3,26.4,10,21.8,4.1,1.2,"2012"
"1217","Chefs and head cooks","35-1011",17.6,29.2,22.5,16.9,12.3,1.2,0.4,"2012"
"1218","First-line supervisors of food preparation and serving workers","35-1012",12,35.6,28.9,9,12.7,1.5,0.4,"2012"
"1219","Cooks, fast food(1)","35-2011",30.9,40.3,18.2,5.2,4.6,0.6,0.2,"2012"
"1220","Cooks, institution and cafeteria(1)","35-2012",30.9,40.3,18.2,5.2,4.6,0.6,0.2,"2012"
"1221","Cooks, private household(1)","35-2013",30.9,40.3,18.2,5.2,4.6,0.6,0.2,"2012"
"1222","Cooks, restaurant(1)","35-2014",30.9,40.3,18.2,5.2,4.6,0.6,0.2,"2012"
"1223","Cooks, short order(1)","35-2015",30.9,40.3,18.2,5.2,4.6,0.6,0.2,"2012"
"1224","Cooks, all other(1)","35-2019",30.9,40.3,18.2,5.2,4.6,0.6,0.2,"2012"
"1225","Food preparation workers","35-2021",28.5,37.5,19.4,5.3,7.8,1.1,0.3,"2012"
"1226","Bartenders","35-3011",7.5,27.8,35.6,10,16.9,1.9,0.4,"2012"
"1227","Combined food preparation and serving workers, including fast food","35-3021",21.2,43.9,23,5.8,5,0.8,0.3,"2012"
"1228","Counter attendants, cafeteria, food concession, and coffee shop","35-3022",19.7,43.7,20.6,5.6,8.8,1.2,0.3,"2012"
"1229","Waiters and waitresses","35-3031",14,32.7,28.5,8.7,13.9,1.8,0.3,"2012"
"1230","Food servers, nonrestaurant","35-3041",18.3,43.1,22.4,7.5,7.7,0.7,0.3,"2012"
"1231","Dining room and cafeteria attendants and bartender helpers(1)","35-9011",28.8,42.4,17.5,4.2,6.4,0.4,0.3,"2012"
"1232","Dishwashers","35-9021",43.8,39,11.1,2.8,3,0.4,0,"2012"
"1233","Hosts and hostesses, restaurant, lounge, and coffee shop","35-9031",11.8,35.9,26.5,7.9,15.2,2.1,0.6,"2012"
"1234","Food preparation and serving related workers, all other(1)","35-9099",28.8,42.4,17.5,4.2,6.4,0.4,0.3,"2012"
"1235","First-line supervisors of housekeeping and janitorial workers","37-1011",15.1,37.1,26.9,8.3,10.7,1.4,0.5,"2012"
"1236","First-line supervisors of landscaping, lawn service, and groundskeeping workers","37-1012",20.2,29.6,23.9,9,15.7,1.3,0.3,"2012"
"1237","Janitors and cleaners, except maids and housekeeping cleaners(1)","37-2011",26.2,44.2,18.7,5.4,4.6,0.7,0.2,"2012"
"1238","Maids and housekeeping cleaners","37-2012",38.3,39.3,14,3.5,4.1,0.6,0.2,"2012"
"1239","Building cleaning workers, all other(1)","37-2019",26.2,44.2,18.7,5.4,4.6,0.7,0.2,"2012"
"1240","Pest control workers","37-2021",8.6,41.4,30,9,9.5,1,0.5,"2012"
"1241","Landscaping and groundskeeping workers(1)","37-3011",39.2,34.2,15.2,4.5,5.7,0.9,0.2,"2012"
"1242","Pesticide handlers, sprayers, and applicators, vegetation(1)","37-3012",39.2,34.2,15.2,4.5,5.7,0.9,0.2,"2012"
"1243","Tree trimmers and pruners(1)","37-3013",39.2,34.2,15.2,4.5,5.7,0.9,0.2,"2012"
"1244","Grounds maintenance workers, all other(1)","37-3019",39.2,34.2,15.2,4.5,5.7,0.9,0.2,"2012"
"1245","Gaming supervisors(1)","39-1011",4.4,23.9,28.7,9.6,27.6,5.5,0.3,"2012"
"1246","Slot supervisors(1)","39-1012",4.4,23.9,28.7,9.6,27.6,5.5,0.3,"2012"
"1247","First-line supervisors of personal service workers","39-1021",4.9,24.8,27.9,9.7,26.8,5,0.9,"2012"
"1248","Animal trainers","39-2011",6.1,28,27.3,8.1,26,3.3,1.1,"2012"
"1249","Nonfarm animal caretakers","39-2021",10.2,34.7,27.2,8.3,16.3,2.4,0.9,"2012"
"1250","Gaming dealers(1)","39-3011",10.8,32.5,32.6,9.9,12.6,1.3,0.2,"2012"
"1251","Gaming and sports book writers and runners(1)","39-3012",10.8,32.5,32.6,9.9,12.6,1.3,0.2,"2012"
"1252","Gaming service workers, all other(1)","39-3019",10.8,32.5,32.6,9.9,12.6,1.3,0.2,"2012"
"1253","Motion picture projectionists","39-3021",2.1,24.6,36.5,6.7,30.1,0,0,"2012"
"1254","Ushers, lobby attendants, and ticket takers","39-3031",9.1,35.9,23.4,6.2,22.9,2,0.5,"2012"
"1255","Amusement and recreation attendants(1)","39-3091",7.7,28.8,27.4,9.2,20.5,5.7,0.6,"2012"
"1256","Costume attendants(1)","39-3092",7.7,28.8,27.4,9.2,20.5,5.7,0.6,"2012"
"1257","Locker room, coatroom, and dressing room attendants(1)","39-3093",7.7,28.8,27.4,9.2,20.5,5.7,0.6,"2012"
"1258","Entertainment attendants and related workers, all other(1)","39-3099",7.7,28.8,27.4,9.2,20.5,5.7,0.6,"2012"
"1259","Embalmers(1)","39-4011",4.1,22.6,32.8,19.1,16,4.9,0.4,"2012"
"1260","Funeral attendants(1)","39-4021",4.1,22.6,32.8,19.1,16,4.9,0.4,"2012"
"1261","Morticians, undertakers, and funeral directors","39-4031",0.7,9.2,24.3,32,25.5,5.5,2.8,"2012"
"1262","Barbers","39-5011",12.8,48.7,26.8,7.2,4.2,0.3,0.1,"2012"
"1263","Hairdressers, hairstylists, and cosmetologists","39-5012",6.7,45.5,31.5,10.1,5.2,0.6,0.3,"2012"
"1264","Makeup artists, theatrical and performance(1)","39-5091",23,36.8,21.9,8.3,8.6,1.1,0.4,"2012"
"1265","Manicurists and pedicurists(1)","39-5092",23,36.8,21.9,8.3,8.6,1.1,0.4,"2012"
"1266","Shampooers(1)","39-5093",23,36.8,21.9,8.3,8.6,1.1,0.4,"2012"
"1267","Skincare specialists(1)","39-5094",23,36.8,21.9,8.3,8.6,1.1,0.4,"2012"
"1268","Baggage porters and bellhops(1)","39-6011",11.3,34.2,25,9.9,17.3,2.4,0,"2012"
"1269","Concierges(1)","39-6012",11.3,34.2,25,9.9,17.3,2.4,0,"2012"
"1270","Tour guides and escorts(1)","39-7011",6.5,19.4,27.9,9,25.3,10.1,1.8,"2012"
"1271","Travel guides(1)","39-7012",6.5,19.4,27.9,9,25.3,10.1,1.8,"2012"
"1272","Childcare workers","39-9011",13.3,32.2,26.6,10.1,14.2,3.1,0.5,"2012"
"1273","Personal care aides","39-9021",17,34.8,26.9,8.2,10.4,2.1,0.5,"2012"
"1274","Fitness trainers and aerobics instructors(1)","39-9031",2.4,16.2,25,9.1,36.4,9.7,1.2,"2012"
"1275","Recreation workers(1)","39-9032",2.4,16.2,25,9.1,36.4,9.7,1.2,"2012"
"1276","Residential advisors","39-9041",3.1,20.3,32.5,12.1,24.2,7.1,0.8,"2012"
"1277","Personal care and service workers, all other","39-9099",9.9,33,29.4,8.9,14.7,3.5,0.7,"2012"
"1278","First-line supervisors of retail sales workers","41-1011",5.7,29.3,28.8,9.3,22.3,3.8,0.8,"2012"
"1279","First-line supervisors of non-retail sales workers","41-1012",5,21.5,23.9,8.3,31.2,8.6,1.5,"2012"
"1280","Cashiers(1)","41-2011",14.8,40.1,25.4,7.6,10.1,1.6,0.3,"2012"
"1281","Gaming change persons and booth cashiers(1)","41-2012",14.8,40.1,25.4,7.6,10.1,1.6,0.3,"2012"
"1282","Counter and rental clerks","41-2021",12.8,37.7,25.8,7.3,14.7,1.4,0.3,"2012"
"1283","Parts salespersons","41-2022",8,48.7,29,7.6,6,0.5,0.2,"2012"
"1284","Retail salespersons","41-2031",6.6,29,28.8,9.7,21.5,3.7,0.7,"2012"
"1285","Advertising sales agents","41-3011",1.4,11.4,22.4,7.7,49,7.3,0.7,"2012"
"1286","Insurance sales agents","41-3021",1,15.3,26.3,9.3,40.1,6.3,1.7,"2012"
"1287","Securities, commodities, and financial services sales agents","41-3031",0.6,7.6,16.2,5,51.1,16.7,2.6,"2012"
"1288","Travel agents","41-3041",1.7,16.4,31.1,13.1,30.9,5.4,1.4,"2012"
"1289","Sales representatives, services, all other","41-3099",2.2,15.9,25.9,8.4,39.3,7.4,1,"2012"
"1290","Sales representatives, wholesale and manufacturing, technical and scientific products(1)","41-4011",3,17.4,23.4,8.2,40.5,6.9,0.7,"2012"
"1291","Sales representatives, wholesale and manufacturing, except technical and scientific products(1)","41-4012",3,17.4,23.4,8.2,40.5,6.9,0.7,"2012"
"1292","Demonstrators and product promoters(1)","41-9011",11.7,30.7,27.6,8.8,18.4,2.4,0.4,"2012"
"1293","Models(1)","41-9012",11.7,30.7,27.6,8.8,18.4,2.4,0.4,"2012"
"1294","Real estate brokers(1)","41-9021",1.3,12.8,28.5,9.4,36.6,9,2.2,"2012"
"1295","Real estate sales agents(1)","41-9022",1.3,12.8,28.5,9.4,36.6,9,2.2,"2012"
"1296","Sales engineers","41-9031",0.7,5.8,13,9.4,53.1,16.3,1.7,"2012"
"1297","Telemarketers","41-9041",5.4,30.9,33,10.8,16.5,2.9,0.5,"2012"
"1298","Door-to-door sales workers, news and street vendors, and related workers","41-9091",16,31.7,25,8.5,14.9,3.1,0.9,"2012"
"1299","Sales and related workers, all other","41-9099",4.3,20.5,20.9,9.3,36.9,7.3,0.9,"2012"
"1300","First-line supervisors of office and administrative support workers","43-1011",2.6,22.7,29.3,11.5,25.7,6.9,1.4,"2012"
"1301","Switchboard operators, including answering service","43-2011",4.7,34.4,35.4,11.2,11.7,2.5,0.1,"2012"
"1302","Telephone operators","43-2021",5.8,32.8,37,10.4,11.7,2,0.2,"2012"
"1303","Communications equipment operators, all other","43-2099",2.5,22.3,37.2,6.1,20,10.5,1.5,"2012"
"1304","Bill and account collectors","43-3011",3.7,28.3,38.2,12,14.9,2.6,0.3,"2012"
"1305","Billing and posting clerks","43-3021",3.1,29.8,36,13.6,14.5,2.5,0.5,"2012"
"1306","Bookkeeping, accounting, and auditing clerks","43-3031",2.8,28.6,38.5,10.3,16.3,3.1,0.4,"2012"
"1307","Gaming cage workers","43-3041",5.6,37.9,34.1,11.2,8.8,2.3,0,"2012"
"1308","Payroll and timekeeping clerks","43-3051",2.1,25.7,37,14.3,18.3,2.3,0.2,"2012"
"1309","Procurement clerks","43-3061",1.2,19.6,31.9,13.4,24.2,8.4,1.4,"2012"
"1310","Tellers","43-3071",1.7,34.8,33.2,11.3,16.9,2,0.1,"2012"
"1311","Financial clerks, all other","43-3099",0.8,17.9,27.5,7,32.1,13.6,1.1,"2012"
"1312","Brokerage clerks","43-4011",1.6,23.4,19.9,16.9,36.1,1,1.1,"2012"
"1313","Correspondence clerks(1)","43-4021",8.4,33.7,29.8,9.8,16.1,2,0.2,"2012"
"1314","Court, municipal, and license clerks","43-4031",1,28.4,34,13.5,19.3,2.2,1.6,"2012"
"1315","Credit authorizers, checkers, and clerks","43-4041",1.2,27.4,32.6,9.5,23.5,5.1,0.8,"2012"
"1316","Customer service representatives","43-4051",4,27,32.5,11.2,21.2,3.4,0.5,"2012"
"1317","Eligibility interviewers, government programs","43-4061",1.2,14.3,25.6,12.8,36.2,9,0.9,"2012"
"1318","File clerks","43-4071",4.2,27.9,32.1,13.1,17.9,4,0.7,"2012"
"1319","Hotel, motel, and resort desk clerks","43-4081",5.4,30.4,35.3,9.8,15.9,2.8,0.5,"2012"
"1320","Interviewers, except eligibility and loan","43-4111",1.5,23.8,33.7,15.8,18.4,5.7,1.1,"2012"
"1321","Library assistants, clerical","43-4121",1.1,20.3,24.5,13.1,30.4,9.3,1.2,"2012"
"1322","Loan interviewers and clerks","43-4131",1.4,27,32.8,12.9,22.9,2.5,0.6,"2012"
"1323","New accounts clerks","43-4141",0.8,25.8,35.9,9.8,23.4,3.8,0.4,"2012"
"1324","Order clerks(1)","43-4151",8.4,33.7,29.8,9.8,16.1,2,0.2,"2012"
"1325","Human resources assistants, except payroll and timekeeping","43-4161",2.4,19.2,33.3,13.4,23.6,7.4,0.7,"2012"
"1326","Receptionists and information clerks","43-4171",4.1,33.5,34.1,12,13.7,2.2,0.5,"2012"
"1327","Reservation and transportation ticket agents and travel clerks","43-4181",2.3,24.4,33.8,12.2,22.8,4.1,0.3,"2012"
"1328","Information and record clerks, all other","43-4199",1.6,21.3,30.8,20.7,20.7,4,1,"2012"
"1329","Cargo and freight agents","43-5011",4.5,24.7,32.5,13.5,21.9,2.8,0,"2012"
"1330","Couriers and messengers","43-5021",7.5,36.8,32.2,10,11.5,1.6,0.3,"2012"
"1331","Police, fire, and ambulance dispatchers(1)","43-5031",4.2,33.2,36.4,11.2,13.4,1.5,0.2,"2012"
"1332","Dispatchers, except police, fire, and ambulance(1)","43-5032",4.2,33.2,36.4,11.2,13.4,1.5,0.2,"2012"
"1333","Meter readers, utilities","43-5041",3.9,47.4,30.2,7.5,9.8,1,0,"2012"
"1334","Postal service clerks","43-5051",2.5,34.3,36.4,10.7,14.1,1.8,0.2,"2012"
"1335","Postal service mail carriers","43-5052",2.1,36.1,37.4,10.6,12.2,1.5,0.2,"2012"
"1336","Postal service mail sorters, processors, and processing machine operators","43-5053",3.4,34,35.9,11,12.7,2.6,0.5,"2012"
"1337","Production, planning, and expediting clerks","43-5061",2.9,25.8,28.6,11.5,23.8,6.7,0.6,"2012"
"1338","Shipping, receiving, and traffic clerks","43-5071",13.2,45.8,26.2,6.7,7.3,0.6,0.2,"2012"
"1339","Stock clerks and order fillers","43-5081",13.7,43.9,25.1,7.5,8.2,1.4,0.2,"2012"
"1340","Weighers, measurers, checkers, and samplers, recordkeeping","43-5111",12,39.9,25.6,8.3,11.3,2.7,0.2,"2012"
"1341","Executive secretaries and executive administrative assistants(1)","43-6011",2.1,29.2,33.5,14,17.7,3,0.4,"2012"
"1342","Legal secretaries(1)","43-6012",2.1,29.2,33.5,14,17.7,3,0.4,"2012"
"1343","Medical secretaries(1)","43-6013",2.1,29.2,33.5,14,17.7,3,0.4,"2012"
"1344","Secretaries and administrative assistants, except legal, medical, and executive(1)","43-6014",2.1,29.2,33.5,14,17.7,3,0.4,"2012"
"1345","Computer operators","43-9011",3.1,21.5,28.9,14.9,25,5.8,0.6,"2012"
"1346","Data entry keyers","43-9021",2.8,29.9,33.5,12.8,17.5,3,0.4,"2012"
"1347","Word processors and typists","43-9022",2.5,30.1,32.8,13.2,17.9,2.9,0.6,"2012"
"1348","Desktop publishers(1)","43-9031",2.1,21,31.6,11.1,25.7,7.7,0.9,"2012"
"1349","Insurance claims and policy processing clerks","43-9041",1.4,25.8,34.8,11.7,22.6,3.1,0.5,"2012"
"1350","Mail clerks and mail machine operators, except postal service","43-9051",8.2,41.7,29.1,7.9,10.9,1.8,0.3,"2012"
"1351","Office clerks, general","43-9061",3.4,30,33.8,11.8,16.9,3.4,0.6,"2012"
"1352","Office machine operators, except computer","43-9071",8.8,40.8,28.4,9,11.9,1,0.1,"2012"
"1353","Proofreaders and copy markers","43-9081",3,15.5,17.8,4.7,46.7,9.7,2.6,"2012"
"1354","Statistical assistants","43-9111",2.5,25.3,29.8,11.8,24.5,4.9,1.3,"2012"
"1355","Office and administrative support workers, all other(1)","43-9199",2.1,21,31.6,11.1,25.7,7.7,0.9,"2012"
"1356","First-line supervisors of farming, fishing, and forestry workers","45-1011",32.3,29,18.1,4.7,12.7,2.6,0.5,"2012"
"1357","Agricultural inspectors","45-2011",6.8,26.5,21.4,7.3,30.2,4.9,2.9,"2012"
"1358","Animal breeders(1)","45-2021",56.2,26.5,9.6,3.1,3.8,0.5,0.3,"2012"
"1359","Graders and sorters, agricultural products","45-2041",59.8,24.4,9.4,2.3,3.7,0.5,0,"2012"
"1360","Agricultural equipment operators(1)","45-2091",56.2,26.5,9.6,3.1,3.8,0.5,0.3,"2012"
"1361","Farmworkers and laborers, crop, nursery, and greenhouse(1)","45-2092",56.2,26.5,9.6,3.1,3.8,0.5,0.3,"2012"
"1362","Farmworkers, farm, ranch, and aquacultural animals(1)","45-2093",56.2,26.5,9.6,3.1,3.8,0.5,0.3,"2012"
"1363","Agricultural workers, all other(1)","45-2099",56.2,26.5,9.6,3.1,3.8,0.5,0.3,"2012"
"1364","Fishers and related fishing workers(1)","45-3011",22.1,41.9,22.7,5.7,5.8,1.3,0.5,"2012"
"1365","Hunters and trappers(1)","45-3021",22.1,41.9,22.7,5.7,5.8,1.3,0.5,"2012"
"1366","Forest and conservation workers","45-4011",25.6,21.1,22.3,9,18.1,3.9,0,"2012"
"1367","Fallers(1)","45-4021",35.4,47.3,12.3,2.6,2.4,0.1,0,"2012"
"1368","Logging equipment operators(1)","45-4022",35.4,47.3,12.3,2.6,2.4,0.1,0,"2012"
"1369","Log graders and scalers(1)","45-4023",35.4,47.3,12.3,2.6,2.4,0.1,0,"2012"
"1370","Logging workers, all other(1)","45-4029",35.4,47.3,12.3,2.6,2.4,0.1,0,"2012"
"1371","First-line supervisors of construction trades and extraction workers","47-1011",13.7,42,25.8,7,9.6,1.4,0.4,"2012"
"1372","Boilermakers","47-2011",9.6,48.8,30.9,7.5,2.5,0.4,0.3,"2012"
"1373","Brickmasons and blockmasons(1)","47-2021",34.1,42.2,15.8,4.2,3.3,0.3,0.1,"2012"
"1374","Stonemasons(1)","47-2022",34.1,42.2,15.8,4.2,3.3,0.3,0.1,"2012"
"1375","Carpenters","47-2031",24.6,43.1,20.7,5.2,5.5,0.8,0.1,"2012"
"1376","Carpet installers(1)","47-2041",36.4,41.7,15.2,3.6,2.8,0.4,0.1,"2012"
"1377","Floor layers, except carpet, wood, and hard tiles(1)","47-2042",36.4,41.7,15.2,3.6,2.8,0.4,0.1,"2012"
"1378","Floor sanders and finishers(1)","47-2043",36.4,41.7,15.2,3.6,2.8,0.4,0.1,"2012"
"1379","Tile and marble setters(1)","47-2044",36.4,41.7,15.2,3.6,2.8,0.4,0.1,"2012"
"1380","Cement masons and concrete finishers(1)","47-2051",45.6,36.9,12.8,2.4,2.1,0.1,0,"2012"
"1381","Terrazzo workers and finishers(1)","47-2053",45.6,36.9,12.8,2.4,2.1,0.1,0,"2012"
"1382","Construction laborers","47-2061",31.4,41,17.2,4.5,5,0.7,0.3,"2012"
"1383","Paving, surfacing, and tamping equipment operators","47-2071",36.7,51.8,5.8,2.4,3.3,0,0,"2012"
"1384","Pile-driver operators(1)","47-2072",19.7,52.8,19.5,4.8,2.8,0.3,0.1,"2012"
"1385","Operating engineers and other construction equipment operators(1)","47-2073",19.7,52.8,19.5,4.8,2.8,0.3,0.1,"2012"
"1386","Drywall and ceiling tile installers(1)","47-2081",43,38.4,13.4,2,3,0.2,0,"2012"
"1387","Tapers(1)","47-2082",43,38.4,13.4,2,3,0.2,0,"2012"
"1388","Electricians","47-2111",7.7,37.3,33,14.3,6.6,0.8,0.2,"2012"
"1389","Glaziers","47-2121",19.7,53.1,19.8,3.7,3.5,0.3,0,"2012"
"1390","Insulation workers, floor, ceiling, and wall(1)","47-2131",27.6,40,22.6,5.5,3.1,0.5,0.6,"2012"
"1391","Insulation workers, mechanical(1)","47-2132",27.6,40,22.6,5.5,3.1,0.5,0.6,"2012"
"1392","Painters, construction and maintenance(1)","47-2141",33.4,39.4,16.8,3.7,5.7,0.8,0.1,"2012"
"1393","Paperhangers(1)","47-2142",33.4,39.4,16.8,3.7,5.7,0.8,0.1,"2012"
"1394","Pipelayers(1)","47-2151",15.8,48.3,24.5,6.9,3.7,0.5,0.1,"2012"
"1395","Plumbers, pipefitters, and steamfitters(1)","47-2152",15.8,48.3,24.5,6.9,3.7,0.5,0.1,"2012"
"1396","Plasterers and stucco masons","47-2161",52.1,32.6,12.3,2.2,0.5,0.2,0,"2012"
"1397","Reinforcing iron and rebar workers(1)","47-2171",34.1,42.2,15.8,4.2,3.3,0.3,0.1,"2012"
"1398","Roofers","47-2181",45.6,37.6,11,2.7,2.8,0.3,0.1,"2012"
"1399","Sheet metal workers","47-2211",14.7,46.5,27.5,6.9,4.1,0.4,0,"2012"
"1400","Structural iron and steel workers","47-2221",16.7,46,24.3,6.9,5.7,0.1,0.3,"2012"
"1401","Solar photovoltaic installers(1)","47-2231",21,44.4,22,6,5.2,1.4,0,"2012"
"1402","Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters(1)","47-3011",43.9,36,11.5,4.3,4,0.4,0,"2012"
"1403","Helpers--carpenters(1)","47-3012",43.9,36,11.5,4.3,4,0.4,0,"2012"
"1404","Helpers--electricians(1)","47-3013",43.9,36,11.5,4.3,4,0.4,0,"2012"
"1405","Helpers--painters, paperhangers, plasterers, and stucco masons(1)","47-3014",43.9,36,11.5,4.3,4,0.4,0,"2012"
"1406","Helpers--pipelayers, plumbers, pipefitters, and steamfitters(1)","47-3015",43.9,36,11.5,4.3,4,0.4,0,"2012"
"1407","Helpers--roofers(1)","47-3016",43.9,36,11.5,4.3,4,0.4,0,"2012"
"1408","Helpers, construction trades, all other(1)","47-3019",43.9,36,11.5,4.3,4,0.4,0,"2012"
"1409","Construction and building inspectors","47-4011",3.4,26,32.2,12.3,21,4.7,0.4,"2012"
"1410","Elevator installers and repairers","47-4021",4.2,44.7,33,10.5,7.5,0.2,0,"2012"
"1411","Fence erectors","47-4031",35.7,40.1,16.9,3.5,3.7,0.1,0,"2012"
"1412","Hazardous materials removal workers","47-4041",21,37.5,22.3,5.2,11,2.6,0.4,"2012"
"1413","Highway maintenance workers","47-4051",12.8,56.6,22.3,4.8,3,0.4,0.2,"2012"
"1414","Rail-track laying and maintenance equipment operators","47-4061",14.3,48.7,26.5,7.3,3,0.2,0,"2012"
"1415","Septic tank servicers and sewer pipe cleaners(1)","47-4071",21,44.4,22,6,5.2,1.4,0,"2012"
"1416","Segmental pavers(1)","47-4091",21,44.4,22,6,5.2,1.4,0,"2012"
"1417","Construction and related workers, all other(1)","47-4099",21,44.4,22,6,5.2,1.4,0,"2012"
"1418","Derrick operators, oil and gas(1)","47-5011",20.4,43,23.5,5.3,7.4,0.4,0,"2012"
"1419","Rotary drill operators, oil and gas(1)","47-5012",20.4,43,23.5,5.3,7.4,0.4,0,"2012"
"1420","Service unit operators, oil, gas, and mining(1)","47-5013",20.4,43,23.5,5.3,7.4,0.4,0,"2012"
"1421","Earth drillers, except oil and gas","47-5021",17.3,54.4,19.9,2.9,5,0.5,0,"2012"
"1422","Explosives workers, ordnance handling experts, and blasters","47-5031",9.3,37.4,31.4,11.6,6.3,3.6,0.4,"2012"
"1423","Continuous mining machine operators(1)","47-5041",14.6,51.8,23.1,4.3,5.5,0.6,0,"2012"
"1424","Mine cutting and channeling machine operators(1)","47-5042",14.6,51.8,23.1,4.3,5.5,0.6,0,"2012"
"1425","Mining machine operators, all other(1)","47-5049",14.6,51.8,23.1,4.3,5.5,0.6,0,"2012"
"1426","Rock splitters, quarry(1)","47-5051",23.1,48.4,19,5.4,3.8,0.2,0.1,"2012"
"1427","Roof bolters, mining(1)","47-5061",23.1,48.4,19,5.4,3.8,0.2,0.1,"2012"
"1428","Roustabouts, oil and gas(1)","47-5071",20.4,43,23.5,5.3,7.4,0.4,0,"2012"
"1429","Helpers--extraction workers(1)","47-5081",23.1,48.4,19,5.4,3.8,0.2,0.1,"2012"
"1430","Extraction workers, all other(1)","47-5099",23.1,48.4,19,5.4,3.8,0.2,0.1,"2012"
"1431","First-line supervisors of mechanics, installers, and repairers","49-1011",6.1,36.4,30.9,12,11.6,2.6,0.4,"2012"
"1432","Computer, automated teller, and office machine repairers","49-2011",2.6,17.9,32.7,20.4,21.7,4,0.7,"2012"
"1433","Radio, cellular, and tower equipment installers and repairs(1)","49-2021",3.4,30.3,35.9,16.9,11.9,1.4,0.3,"2012"
"1434","Telecommunications equipment installers and repairers, except line installers(1)","49-2022",3.4,30.3,35.9,16.9,11.9,1.4,0.3,"2012"
"1435","Avionics technicians","49-2091",1.9,19.7,44.3,26.2,7.5,0.5,0,"2012"
"1436","Electric motor, power tool, and related repairers","49-2092",10.9,39.2,27.5,14.5,7,0.8,0,"2012"
"1437","Electrical and electronics installers and repairers, transportation equipment(1)","49-2093",1.6,32,35.1,21.7,9,0.6,0,"2012"
"1438","Electrical and electronics repairers, commercial and industrial equipment(1)","49-2094",1.6,32,35.1,21.7,9,0.6,0,"2012"
"1439","Electrical and electronics repairers, powerhouse, substation, and relay(1)","49-2095",1.6,32,35.1,21.7,9,0.6,0,"2012"
"1440","Electronic equipment installers and repairers, motor vehicles","49-2096",17.7,38.1,28.3,10.2,5.4,0.4,0,"2012"
"1441","Electronic home entertainment equipment installers and repairers","49-2097",6.6,35.3,31.2,15.4,10.7,0.7,0.2,"2012"
"1442","Security and fire alarm systems installers","49-2098",7.3,36.7,34.7,12.5,8.3,0.4,0.1,"2012"
"1443","Aircraft mechanics and service technicians","49-3011",2.7,27.2,39.6,20.4,8.7,1.2,0.2,"2012"
