employment,code,degrees,number,year
Network and computer systems administrators,15-1142,"some college, no degree",23.9,2014
Network and computer systems administrators,15-1142,associate,15.5,2014
Network and computer systems administrators,15-1142,bachelor,40.7,2014
Network and computer systems administrators,15-1142,master,11.3,2014
Network and computer systems administrators,15-1142,doctor/professional,1.3,2014
Computer network architects,15-1143,less hs,0.7,2014
Computer network architects,15-1143,high school,6.7,2014
Computer network architects,15-1143,"some college, no degree",23.1,2014
Computer network architects,15-1143,associate,12,2014
Computer network architects,15-1143,bachelor,40,2014
Computer network architects,15-1143,master,15.9,2014
Computer network architects,15-1143,doctor/professional,1.7,2014
Computer user support specialists(1),15-1151,less hs,0.8,2014
Computer user support specialists(1),15-1151,high school,9.5,2014
Computer user support specialists(1),15-1151,"some college, no degree",26.7,2014
Computer user support specialists(1),15-1151,associate,16.4,2014
Computer user support specialists(1),15-1151,bachelor,36.2,2014
Computer user support specialists(1),15-1151,master,9.4,2014
Computer user support specialists(1),15-1151,doctor/professional,1,2014
Computer network support specialists(1),15-1152,less hs,0.8,2014
Computer network support specialists(1),15-1152,high school,9.5,2014
Computer network support specialists(1),15-1152,"some college, no degree",26.7,2014
Computer network support specialists(1),15-1152,associate,16.4,2014
Computer network support specialists(1),15-1152,bachelor,36.2,2014
Computer network support specialists(1),15-1152,master,9.4,2014
Computer network support specialists(1),15-1152,doctor/professional,1,2014
"Computer occupations, all other",15-1199,less hs,1.1,2014
"Computer occupations, all other",15-1199,high school,7.2,2014
"Computer occupations, all other",15-1199,"some college, no degree",21.1,2014
"Computer occupations, all other",15-1199,associate,14.7,2014
"Computer occupations, all other",15-1199,bachelor,39,2014
"Computer occupations, all other",15-1199,master,15.5,2014
"Computer occupations, all other",15-1199,doctor/professional,1.3,2014
Actuaries,15-2011,less hs,0,2014
Actuaries,15-2011,high school,0,2014
Actuaries,15-2011,"some college, no degree",1.2,2014
Actuaries,15-2011,associate,0.7,2014
Actuaries,15-2011,bachelor,63.5,2014
Actuaries,15-2011,master,23.6,2014
Actuaries,15-2011,doctor/professional,11,2014
Mathematicians(1),15-2021,less hs,0.1,2014
Mathematicians(1),15-2021,high school,0.1,2014
Mathematicians(1),15-2021,"some college, no degree",3.2,2014
Mathematicians(1),15-2021,associate,3,2014
Mathematicians(1),15-2021,bachelor,32.9,2014
Mathematicians(1),15-2021,master,39,2014
Mathematicians(1),15-2021,doctor/professional,21.7,2014
Operations research analysts,15-2031,less hs,0.6,2014
Operations research analysts,15-2031,high school,6.1,2014
Operations research analysts,15-2031,"some college, no degree",15,2014
Operations research analysts,15-2031,associate,7.1,2014
Operations research analysts,15-2031,bachelor,39.7,2014
Operations research analysts,15-2031,master,27.4,2014
Operations research analysts,15-2031,doctor/professional,4.1,2014
Statisticians(1),15-2041,less hs,0.1,2014
Statisticians(1),15-2041,high school,0.1,2014
Statisticians(1),15-2041,"some college, no degree",3.2,2014
Statisticians(1),15-2041,associate,3,2014
Statisticians(1),15-2041,bachelor,32.9,2014
Statisticians(1),15-2041,master,39,2014
Statisticians(1),15-2041,doctor/professional,21.7,2014
Mathematical technicians(1),15-2091,less hs,0.1,2014
Mathematical technicians(1),15-2091,high school,0.1,2014
Mathematical technicians(1),15-2091,"some college, no degree",3.2,2014
Mathematical technicians(1),15-2091,associate,3,2014
Mathematical technicians(1),15-2091,bachelor,32.9,2014
Mathematical technicians(1),15-2091,master,39,2014
Mathematical technicians(1),15-2091,doctor/professional,21.7,2014
"Mathematical science occupations, all other(1)",15-2099,less hs,0.1,2014
"Mathematical science occupations, all other(1)",15-2099,high school,0.1,2014
"Mathematical science occupations, all other(1)",15-2099,"some college, no degree",3.2,2014
"Mathematical science occupations, all other(1)",15-2099,associate,3,2014
"Mathematical science occupations, all other(1)",15-2099,bachelor,32.9,2014
"Mathematical science occupations, all other(1)",15-2099,master,39,2014
"Mathematical science occupations, all other(1)",15-2099,doctor/professional,21.7,2014
"Architects, except landscape and naval(1)",17-1011,less hs,0.3,2014
"Architects, except landscape and naval(1)",17-1011,high school,1.6,2014
"Architects, except landscape and naval(1)",17-1011,"some college, no degree",4.6,2014
"Architects, except landscape and naval(1)",17-1011,associate,2.9,2014
"Architects, except landscape and naval(1)",17-1011,bachelor,49,2014
"Architects, except landscape and naval(1)",17-1011,master,34,2014
"Architects, except landscape and naval(1)",17-1011,doctor/professional,7.5,2014
Landscape architects(1),17-1012,less hs,0.3,2014
Landscape architects(1),17-1012,high school,1.6,2014
Landscape architects(1),17-1012,"some college, no degree",4.6,2014
Landscape architects(1),17-1012,associate,2.9,2014
Landscape architects(1),17-1012,bachelor,49,2014
Landscape architects(1),17-1012,master,34,2014
Landscape architects(1),17-1012,doctor/professional,7.5,2014
Cartographers and photogrammetrists(1),17-1021,less hs,0.4,2014
Cartographers and photogrammetrists(1),17-1021,high school,1.8,2014
Cartographers and photogrammetrists(1),17-1021,"some college, no degree",9.4,2014
Cartographers and photogrammetrists(1),17-1021,associate,6.7,2014
Cartographers and photogrammetrists(1),17-1021,bachelor,65.8,2014
Cartographers and photogrammetrists(1),17-1021,master,12.6,2014
Cartographers and photogrammetrists(1),17-1021,doctor/professional,3.2,2014
Surveyors(1),17-1022,less hs,0.4,2014
Surveyors(1),17-1022,high school,1.8,2014
Surveyors(1),17-1022,"some college, no degree",9.4,2014
Surveyors(1),17-1022,associate,6.7,2014
Surveyors(1),17-1022,bachelor,65.8,2014
Surveyors(1),17-1022,master,12.6,2014
Surveyors(1),17-1022,doctor/professional,3.2,2014
Aerospace engineers,17-2011,less hs,0.4,2014
Aerospace engineers,17-2011,high school,2.1,2014
Aerospace engineers,17-2011,"some college, no degree",6.7,2014
Aerospace engineers,17-2011,associate,4.7,2014
Aerospace engineers,17-2011,bachelor,50,2014
Aerospace engineers,17-2011,master,31.3,2014
Aerospace engineers,17-2011,doctor/professional,4.7,2014
Agricultural engineers(1),17-2021,less hs,0.5,2014
Agricultural engineers(1),17-2021,high school,1.9,2014
Agricultural engineers(1),17-2021,"some college, no degree",5.3,2014
Agricultural engineers(1),17-2021,associate,14.1,2014
Agricultural engineers(1),17-2021,bachelor,39.3,2014
Agricultural engineers(1),17-2021,master,29.4,2014
Agricultural engineers(1),17-2021,doctor/professional,9.4,2014
Biomedical engineers(1),17-2031,less hs,0.5,2014
Biomedical engineers(1),17-2031,high school,1.9,2014
Biomedical engineers(1),17-2031,"some college, no degree",5.3,2014
Biomedical engineers(1),17-2031,associate,14.1,2014
Biomedical engineers(1),17-2031,bachelor,39.3,2014
Biomedical engineers(1),17-2031,master,29.4,2014
Biomedical engineers(1),17-2031,doctor/professional,9.4,2014
Chemical engineers,17-2041,less hs,0.1,2014
Chemical engineers,17-2041,high school,2.8,2014
Chemical engineers,17-2041,"some college, no degree",3.7,2014
Chemical engineers,17-2041,associate,3.1,2014
Chemical engineers,17-2041,bachelor,57.3,2014
Chemical engineers,17-2041,master,25.5,2014
Chemical engineers,17-2041,doctor/professional,7.6,2014
Civil engineers,17-2051,less hs,0.4,2014
Civil engineers,17-2051,high school,3.2,2014
Civil engineers,17-2051,"some college, no degree",5.9,2014
Civil engineers,17-2051,associate,4.8,2014
Civil engineers,17-2051,bachelor,55.4,2014
Civil engineers,17-2051,master,26.2,2014
Civil engineers,17-2051,doctor/professional,4.1,2014
Computer hardware engineers,17-2061,less hs,0.1,2014
Computer hardware engineers,17-2061,high school,3.9,2014
Computer hardware engineers,17-2061,"some college, no degree",10.5,2014
Computer hardware engineers,17-2061,associate,8.2,2014
Computer hardware engineers,17-2061,bachelor,47.5,2014
Computer hardware engineers,17-2061,master,25.3,2014
Computer hardware engineers,17-2061,doctor/professional,4.4,2014
Electrical engineers(1),17-2071,less hs,0.7,2014
Electrical engineers(1),17-2071,high school,3.6,2014
Electrical engineers(1),17-2071,"some college, no degree",8.7,2014
Electrical engineers(1),17-2071,associate,8.1,2014
Electrical engineers(1),17-2071,bachelor,48.6,2014
Electrical engineers(1),17-2071,master,24.4,2014
Electrical engineers(1),17-2071,doctor/professional,5.9,2014
"Electronics engineers, except computer(1)",17-2072,less hs,0.7,2014
"Electronics engineers, except computer(1)",17-2072,high school,3.6,2014
"Electronics engineers, except computer(1)",17-2072,"some college, no degree",8.7,2014
"Electronics engineers, except computer(1)",17-2072,associate,8.1,2014
"Electronics engineers, except computer(1)",17-2072,bachelor,48.6,2014
"Electronics engineers, except computer(1)",17-2072,master,24.4,2014
"Electronics engineers, except computer(1)",17-2072,doctor/professional,5.9,2014
Environmental engineers,17-2081,less hs,0.4,2014
Environmental engineers,17-2081,high school,4.4,2014
Environmental engineers,17-2081,"some college, no degree",4.9,2014
Environmental engineers,17-2081,associate,3.2,2014
Environmental engineers,17-2081,bachelor,48.3,2014
Environmental engineers,17-2081,master,33.9,2014
Environmental engineers,17-2081,doctor/professional,4.9,2014
"Health and safety engineers, except mining safety engineers and inspectors(1)",17-2111,less hs,0.8,2014
"Health and safety engineers, except mining safety engineers and inspectors(1)",17-2111,high school,6.8,2014
"Health and safety engineers, except mining safety engineers and inspectors(1)",17-2111,"some college, no degree",12.6,2014
"Health and safety engineers, except mining safety engineers and inspectors(1)",17-2111,associate,9.4,2014
"Health and safety engineers, except mining safety engineers and inspectors(1)",17-2111,bachelor,50.3,2014
"Health and safety engineers, except mining safety engineers and inspectors(1)",17-2111,master,17.9,2014
"Health and safety engineers, except mining safety engineers and inspectors(1)",17-2111,doctor/professional,2.2,2014
Industrial engineers(1),17-2112,less hs,0.8,2014
Industrial engineers(1),17-2112,high school,6.8,2014
Industrial engineers(1),17-2112,"some college, no degree",12.6,2014
Industrial engineers(1),17-2112,associate,9.4,2014
Industrial engineers(1),17-2112,bachelor,50.3,2014
Industrial engineers(1),17-2112,master,17.9,2014
Industrial engineers(1),17-2112,doctor/professional,2.2,2014
Marine engineers and naval architects,17-2121,less hs,1.8,2014
Marine engineers and naval architects,17-2121,high school,8.9,2014
Marine engineers and naval architects,17-2121,"some college, no degree",10.8,2014
Marine engineers and naval architects,17-2121,associate,7.5,2014
Marine engineers and naval architects,17-2121,bachelor,48.3,2014
Marine engineers and naval architects,17-2121,master,19.7,2014
Marine engineers and naval architects,17-2121,doctor/professional,3,2014
Materials engineers,17-2131,less hs,0.7,2014
Materials engineers,17-2131,high school,5.3,2014
Materials engineers,17-2131,"some college, no degree",13.1,2014
Materials engineers,17-2131,associate,9.4,2014
Materials engineers,17-2131,bachelor,45.4,2014
Materials engineers,17-2131,master,18.2,2014
Materials engineers,17-2131,doctor/professional,8,2014
Mechanical engineers,17-2141,less hs,0.6,2014
